出,曲牌,是否前腔,顺序,句式
第一出,渔家傲,否,1,"[7, 7, 7, 3, 7, 7, 7, 6, 3, 7]",7,7,7,3,7,7,7,6,3,7
第二出,破齐阵,否,1,"[6, 6, 4, 4, 6, 8, 8, 5]",6,6,4,4,6,8,8,5
第二出,菩萨蛮倒句,否,2,"[7, 7, 5, 5, 5, 5, 5, 5, 9, 7, 4, 7, 4, 4, 6, 4, 6, 6, 6, 6, 6, 9, 11, 3, 9, 11, 3, 1, 8, 8, 4, 4, 7, 4, 4, 7, 4, 7, 4, 7, 4, 3, 3, 7, 4, 3, 3, 7, 10, 7, 7, 6, 7, 6, 3, 3, 4, 6, 3, 5, 6, 3, 7, 5, 6, 3, 7, 1, 4, 4, 6, 4, 9, 8, 7]",7,7,5,5,5,5,5,5,9,7,4,7,4,4,6,4,6,6,6,6,6,9,11,3,9,11,3,1,8,8,4,4,7,4,4,7,4,7,4,7,4,3,3,7,4,3,3,7,10,7,7,6,7,6,3,3,4,6,3,5,6,3,7,5,6,3,7,1,4,4,6,4,9,8,7
第二出,柳摇金,否,3,"[4, 4, 5, 6, 5, 7, 4, 4, 2, 7, 4, 5, 6]",4,4,5,6,5,7,4,4,2,7,4,5,6
第三出,集唐,否,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,0,0,0,0
第三出,赏花时,否,2,"[7, 7, 7, 8, 8]",7,7,7,8,8
第三出,么,否,3,"[10, 10, 8, 3, 9, 2, 8]",10,10,8,3,9,2,8
第三出,中吕粉蝶儿,否,4,"[4, 7, 8, 3, 3, 5, 6, 8]",4,7,8,3,3,5,6,8
第三出,醉春风,否,5,"[10, 11, 9, 9, 7, 7, 10]",10,11,9,9,7,7,10
第三出,红绣鞋,否,6,"[7, 7, 3, 3, 5, 5, 7]",7,7,3,3,5,5,7
第三出,迎仙客,否,7,"[9, 10, 2, 2, 5, 6, 6, 2, 4, 12, 2, 6, 5, 11, 6]",9,10,2,2,5,6,6,2,4,12,2,6,5,11,6
第三出,石榴花,否,8,"[11, 8, 12, 10, 7, 4, 4, 3, 8, 7, 4, 10]",11,8,12,10,7,4,4,3,8,7,4,10
第三出,斗鹌鹑,否,9,"[8, 9, 8, 6, 4, 7, 5, 7, 9, 2, 7, 2, 7, 2, 7]",8,9,8,6,4,7,5,7,9,2,7,2,7,2,7
第三出,上小楼,否,10,"[8, 7, 7, 4, 5, 3, 9, 5, 7, 4, 4, 9, 5, 5, 4, 4, 8]",8,7,7,4,5,3,9,5,7,4,4,9,5,5,4,4,8
第三出,么,否,11,"[9, 5, 6, 7, 9, 4, 4, 4, 3, 3, 8, 13]",9,5,6,7,9,4,4,4,3,3,8,13
第三出,白鹤子,否,12,"[7, 5, 7, 6]",7,5,7,6
第三出,么,否,13,"[3, 3, 3, 3, 9, 12]",3,3,3,3,9,12
第三出,么,否,14,"[5, 3, 3, 3, 5, 9, 9]",5,3,3,3,5,9,9
第三出,么,否,15,"[6, 6, 4, 6, 9]",6,6,4,6,9
第三出,快活三,否,16,"[9, 9, 9, 9]",9,9,9,9
第三出,鲍老儿,否,17,"[8, 7, 7, 4, 8, 7]",8,7,7,4,8,7
第三出,满庭芳,否,18,"[7, 8, 7, 9, 10, 10, 7, 7, 1, 7, 7]",7,8,7,9,10,10,7,7,1,7,7
第三出,耍孩儿,否,19,"[12, 13, 11, 8, 9, 7, 6, 7, 7]",12,13,11,8,9,7,6,7,7
第三出,尾声,否,20,"[9, 9, 11, 14]",9,9,11,14
第四出,锁南枝,否,1,"[3, 3, 8, 5, 6, 5, 4, 4, 4, 5, 3, 8]",3,3,8,5,6,5,4,4,4,5,3,8
第四出,锁南枝,是,2,"[3, 3, 9, 4, 6, 7, 7, 6, 6, 3, 3, 3, 3, 3, 4]",3,3,9,4,6,7,7,6,6,3,3,3,3,3,4
第四出,锁南枝,是,3,"[4, 3, 8, 6, 5, 3, 3, 8]",4,3,8,6,5,3,3,8
第四出,锁南枝,是,4,"[5, 3, 8, 4, 6, 6, 5, 5, 6, 5]",5,3,8,4,6,6,5,5,6,5
第四出,尾声,否,5,"[11, 5, 10, 3, 14]",11,5,10,3,14
第四出,懒画眉,否,6,"[3, 9, 10, 1, 11, 10, 10]",3,9,10,1,11,10,10
第四出,懒画眉,是,7,"[9, 10, 11, 6, 10, 9]",9,10,11,6,10,9
第四出,朝天子,否,8,"[7, 8, 5, 6, 8, 3, 7, 5, 5]",7,8,5,6,8,3,7,5,5
第四出,朝天子,是,9,"[8, 6, 3, 6, 2, 2, 8, 3, 2, 2, 3, 4, 9, 4, 3, 7, 6, 6]",8,6,3,6,2,2,8,3,2,2,3,4,9,4,3,7,6,6
第四出,不是路,否,10,"[4, 7, 3, 7, 10, 3, 5, 5, 6, 4, 6, 5, 3, 3, 7, 7, 8, 3, 4, 4, 4, 5, 7, 4, 4]",4,7,3,7,10,3,5,5,6,4,6,5,3,3,7,7,8,3,4,4,4,5,7,4,4
第四出,不是路,是,11,"[4, 8, 3, 7, 6, 3, 7, 9, 5, 7, 4, 3, 7, 4, 4]",4,8,3,7,6,3,7,9,5,7,4,3,7,4,4
第四出,不是路,是,12,"[5, 7, 4, 7, 2, 7, 4, 8, 5, 11, 2, 2, 3, 5, 2, 6, 4, 7, 8, 2, 2, 5, 6, 4, 2, 6, 5, 4, 2, 2, 2, 5, 6, 7, 2, 6, 4, 5, 3, 6, 2, 4, 6, 7, 6, 3, 4, 7, 4, 4]",5,7,4,7,2,7,4,8,5,11,2,2,3,5,2,6,4,7,8,2,2,5,6,4,2,6,5,4,2,2,2,5,6,7,2,6,4,5,3,6,2,4,6,7,6,3,4,7,4,4
第四出,不是路,是,13,"[5, 10, 6, 3, 3, 8, 3, 8, 4, 3, 7, 4, 7, 6, 3, 4, 5, 6, 4, 4]",5,10,6,3,3,8,3,8,4,3,7,4,7,6,3,4,5,6,4,4
第四出,贺新郎,否,14,"[4, 7, 7, 3, 10, 7, 3, 3, 5, 3, 3]",4,7,7,3,10,7,3,3,5,3,3
第四出,贺新郎,是,15,"[4, 7, 7, 3, 10, 3, 4, 3, 3, 6]",4,7,7,3,10,3,4,3,3,6
第四出,节节高,否,16,"[5, 3, 7, 3, 3, 3, 7, 7, 7, 7]",5,3,7,3,3,3,7,7,7,7
第四出,节节高,是,17,"[5, 3, 7, 3, 3, 3, 7, 7, 7, 7]",5,3,7,3,3,3,7,7,7,7
第四出,尾声,否,18,"[6, 8, 3, 13]",6,8,3,13
第五出,霜天晓角,否,1,"[4, 5, 7, 6]",4,5,7,6
第五出,集唐,否,2,"[7, 7, 7, 7, 6, 3, 8, 8, 6, 4, 6, 6, 6, 4, 4, 4, 6, 6, 5, 17, 10, 4, 4, 9, 7, 4, 4]",7,7,7,7,6,3,8,8,6,4,6,6,6,4,4,4,6,6,5,17,10,4,4,9,7,4,4
第五出,霜天晓角,是,3,"[4, 5, 7, 6]",4,5,7,6
第五出,皂罗袍,否,4,"[6, 5, 4, 8, 9, 1, 5, 6, 4, 7, 4, 4, 4, 4, 4, 12]",6,5,4,8,9,1,5,6,4,7,4,4,4,4,4,12
第五出,皂罗袍,是,5,"[6, 5, 4, 9, 7, 4, 6, 8, 6, 5, 6, 4, 10]",6,5,4,9,7,4,6,8,6,5,6,4,10
第五出,尾声,否,6,"[9, 10, 3, 11]",9,10,3,11
第六出,绕地游,否,1,"[4, 5, 8, 5, 4, 7]",4,5,8,5,4,7
第六出,丑奴儿,否,2,"[7, 4, 4, 7, 7, 4, 4, 7, 10, 6, 4, 3, 4, 12, 6, 4, 2, 5, 5]",7,4,4,7,7,4,4,7,10,6,4,3,4,12,6,4,2,5,5
第六出,卜操作数,否,3,"[5, 5, 7, 5]",5,5,7,5
第六出,朱奴儿,否,4,"[9, 8, 10, 7, 3, 4, 6]",9,8,10,7,3,4,6
第六出,朱奴儿,是,5,"[7, 7, 3, 7, 8]",7,7,3,7,8
第六出,雁来红,否,6,"[3, 3, 6, 9, 5, 8, 3, 4, 6]",3,3,6,9,5,8,3,4,6
第六出,雁来红,是,7,"[3, 3, 6, 8, 5, 7]",3,3,6,8,5,7
第六出,尾声,否,8,"[9, 3, 9, 15]",9,3,9,15
第七出,夜行船,否,1,"[4, 7, 4, 4, 4, 7]",4,7,4,4,4,7
第七出,集唐,否,2,"[7, 7, 7, 7, 21, 4, 4, 6, 5, 7, 4, 6, 4, 10, 2, 2, 7, 4, 4, 8, 10, 5, 4, 8, 4, 4, 6, 6, 6, 2, 4]",7,7,7,7,21,4,4,6,5,7,4,6,4,10,2,2,7,4,4,8,10,5,4,8,4,4,6,6,6,2,4
第七出,粉蝶儿,否,3,"[4, 7, 8, 7, 6]",4,7,8,7,6
第七出,一封书,否,4,"[5, 8, 5, 4, 5, 3, 3, 3, 7, 7, 7, 3, 3, 10]",5,8,5,4,5,3,3,3,7,7,7,3,3,10
第七出,一封书,是,5,"[4, 1, 8, 5, 6, 4, 9, 8, 7, 4, 9, 4, 9, 10, 3, 6]",4,1,8,5,6,4,9,8,7,4,9,4,9,10,3,6
第七出,尾声,否,6,"[11, 10, 9, 18]",11,10,9,18
第八出,谒金门前,否,1,"[3, 6, 9, 5]",3,6,9,5
第八出,谒金门后,否,2,"[6, 6, 10, 2, 2, 8, 5]",6,6,10,2,2,8,5
第八出,降黄龙,否,3,"[4, 7, 4, 4, 5, 4, 2, 4, 7, 5, 4, 4]",4,7,4,4,5,4,2,4,7,5,4,4
第八出,降黄龙,是,4,"[2, 4, 5, 4, 4, 3, 7, 2, 6, 7, 3, 4, 4]",2,4,5,4,4,3,7,2,6,7,3,4,4
第八出,黄龙衮,否,5,"[5, 5, 4, 5, 4, 4, 3, 3, 3]",5,5,4,5,4,4,3,3,3
第八出,黄龙衮,是,6,"[5, 5, 4, 5, 4, 4, 3, 3, 3]",5,5,4,5,4,4,3,3,3
第八出,尾声,否,7,"[3, 8, 7, 13]",3,8,7,13
第九出,北点绛唇,否,1,"[4, 4, 3, 4, 5]",4,4,3,4,5
第九出,北点绛唇,是,2,"[4, 4, 3, 4, 6]",4,4,3,4,6
第九出,清江引,否,3,"[3, 6, 5, 6, 6, 9]",3,6,5,6,6,9
第九出,清江引,是,4,"[3, 6, 5, 6, 6, 10]",3,6,5,6,6,10
第十出,七娘子,否,1,"[9, 7, 6, 9]",9,7,6,9
第十出,好事近,否,2,"[5, 6, 6, 5, 7, 5, 6, 5, 2, 6, 6, 4, 6, 11, 9, 6, 6, 4, 4, 4, 4, 4]",5,6,6,5,7,5,6,5,2,6,6,4,6,11,9,6,6,4,4,4,4,4
第十出,针线箱,否,3,"[7, 7, 9, 7, 10, 7, 3, 4, 7]",7,7,9,7,10,7,3,4,7
第十出,望吾乡,否,4,"[4, 5, 7, 7, 5, 3, 3, 8]",4,5,7,7,5,3,3,8
第十出,玉芙蓉,否,5,"[5, 5, 3, 6, 8, 9, 4, 5, 3, 10]",5,5,3,6,8,9,4,5,3,10
第十出,玉芙蓉,是,6,"[6, 5, 3, 6, 8, 7, 4, 4, 4, 8]",6,5,3,6,8,7,4,4,4,8
第十出,尾声,否,7,"[12, 10, 3, 11]",12,10,3,11
第十一出,普贤歌,否,1,"[7, 8, 5, 5, 8]",7,8,5,5,8
第十一出,字字双,否,2,"[7, 2, 7, 2, 7, 2, 8, 2]",7,2,7,2,7,2,8,2
第十一出,缕缕金,否,3,"[3, 3, 5, 5, 5, 4, 9, 5]",3,3,5,5,5,4,9,5
第十一出,双调江儿水,否,4,"[4, 4, 10, 8, 5, 4, 6]",4,4,10,8,5,4,6
第十一出,双调江儿水,是,5,"[4, 4, 8, 9]",4,4,8,9
第十一出,桂枝香,否,6,"[3, 4, 4, 7, 7, 5, 5, 5, 5, 3, 9, 5, 5]",3,4,4,7,7,5,5,5,5,3,9,5,5
第十一出,桂枝香,是,7,"[4, 4, 6, 7, 5, 5, 4, 4, 3, 7, 7, 7]",4,4,6,7,5,5,4,4,3,7,7,7
第十一出,大迓鼓,否,8,"[5, 5, 4, 1, 5, 4, 9, 7, 4, 4, 4, 8, 7, 4, 4]",5,5,4,1,5,4,9,7,4,4,4,8,7,4,4
第十一出,大迓鼓,是,9,"[5, 5, 4, 7, 7, 7, 7, 4, 4]",5,5,4,7,7,7,7,4,4
第十一出,尾声,否,10,"[9, 7, 12]",9,7,12
第十二出,西地锦,否,1,"[6, 6, 4, 4, 6]",6,6,4,4,6
第十二出,山花子,否,2,"[8, 7, 8, 7, 6, 8, 8, 5, 4]",8,7,8,7,6,8,8,5,4
第十二出,清江引,否,3,"[9, 5, 5, 5, 3, 8]",9,5,5,5,3,8
第十二出,清江引,否,4,"[6, 0]",6,0
第十二出,清江引,否,5,"[6, 0]",6,0
第十三出,梨花儿,否,1,"[8, 7, 7, 1, 9]",8,7,7,1,9
第十三出,西地锦,否,2,"[6, 6, 7, 6]",6,6,7,6
第十三出,西江月,否,3,"[6, 6, 7, 6, 6, 6, 7, 6, 2, 9, 4, 9, 4, 4, 4, 4, 6, 13, 9, 4, 4, 4, 14, 6, 6, 5, 4, 5, 2, 4, 4, 4, 8, 4, 6]",6,6,7,6,6,6,7,6,2,9,4,9,4,4,4,4,6,13,9,4,4,4,14,6,6,5,4,5,2,4,4,4,8,4,6
第十三出,一封书,否,4,"[5, 8, 8, 9, 5, 6, 6, 11, 10, 4, 6, 12, 7, 11, 2, 3, 7, 6, 5, 8, 3, 3, 10]",5,8,8,9,5,6,6,11,10,4,6,12,7,11,2,3,7,6,5,8,3,3,10
第十四出,太常引,否,1,"[4, 3, 5, 7, 6]",4,3,5,7,6
第十四出,绕地游,否,2,"[4, 5, 7, 4, 4, 8]",4,5,7,4,4,8
第十四出,望吾乡犯,否,3,"[4, 5, 7, 7, 5, 17, 11, 11, 1, 2, 7, 9, 4, 4, 3, 4, 6, 4, 2, 3, 3, 7, 3, 3, 7]",4,5,7,7,5,17,11,11,1,2,7,9,4,4,3,4,6,4,2,3,3,7,3,3,7
第十四出,绛都春,否,4,"[4, 5, 4, 10, 10, 5, 3, 8, 5, 6, 4, 4, 8, 4, 8, 6, 6, 4, 1, 7, 4, 9]",4,5,4,10,10,5,3,8,5,6,4,4,8,4,8,6,6,4,1,7,4,9
第十四出,出队子,否,5,"[4, 5, 8, 8, 8, 3, 9]",4,5,8,8,8,3,9
第十四出,闹樊楼,否,6,"[10, 11, 6, 6, 6, 8, 9]",10,11,6,6,6,8,9
第十四出,莺画眉,否,7,"[5, 6, 8, 7, 7, 4, 9]",5,6,8,7,7,4,9
第十四出,滴滴金,否,8,"[10, 5, 9, 14, 8, 4, 7]",10,5,9,14,8,4,7
第十四出,啄木儿,否,9,"[3, 3, 7, 9, 8, 3, 10, 6, 2, 8, 7, 10]",3,3,7,9,8,3,10,6,2,8,7,10
第十四出,三段子,否,10,"[4, 7, 4, 7, 3, 10, 3, 9, 9]",4,7,4,7,3,10,3,9,9
第十四出,斗双鸡,否,11,"[3, 3, 4, 8, 3, 3, 4, 5, 6, 5, 7, 5, 4, 5, 7, 5]",3,3,4,8,3,3,4,5,6,5,7,5,4,5,7,5
第十四出,上小楼,否,12,"[2, 4, 6, 9, 8, 8]",2,4,6,9,8,8
第十四出,耍鲍老,否,13,"[7, 10, 7, 6, 4, 9, 6, 4, 6, 3, 8, 5]",7,10,7,6,4,9,6,4,6,3,8,5
第十四出,尾声,否,14,"[9, 7, 4, 10]",9,7,4,10
第十四出,赛观音,否,15,"[6, 7, 7, 4, 5]",6,7,7,4,5
第十四出,赛观音,是,16,"[6, 7, 7, 4, 6]",6,7,7,4,6
第十四出,人月圆,否,17,"[8, 8, 7, 7, 3, 5, 4]",8,8,7,7,3,5,4
第十四出,人月圆,是,18,"[3, 5, 8, 9, 8, 3, 9]",3,5,8,9,8,3,9
第十五出,金珑璁,否,1,"[5, 7, 9, 5, 7, 5]",5,7,9,5,7,5
第十五出,集唐,否,2,"[7, 7, 7, 7, 3, 5, 13, 4, 4, 7, 3, 4, 4, 9, 8, 5, 4, 7, 8, 6, 8, 4, 4, 5]",7,7,7,7,3,5,13,4,4,7,3,4,4,9,8,5,4,7,8,6,8,4,4,5
第十五出,北绛都春,否,3,"[7, 7, 6, 4, 6, 4]",7,7,6,4,6,4
第十五出,混江龙,否,4,"[4, 6, 10, 5, 3, 4, 10, 9, 9, 7, 7, 7, 9, 10, 12, 12, 13, 13, 10, 6, 11, 11, 7, 7, 4, 4, 8, 4, 6, 3, 9, 14, 5, 6, 4, 4, 12, 5, 9, 3, 3, 7, 6, 8, 7, 4, 3, 8, 4, 5, 5, 7, 7, 6, 6, 2, 16, 12, 7, 6, 4, 15, 7, 4, 4, 6, 9, 1, 6, 4, 6, 8, 4, 8, 7, 7, 9, 8, 5, 4, 7, 4, 9, 2, 2, 10, 8, 6, 6, 5, 5, 3, 5, 6, 2, 6, 11, 3, 4, 5, 16, 14]",4,6,10,5,3,4,10,9,9,7,7,7,9,10,12,12,13,13,10,6,11,11,7,7,4,4,8,4,6,3,9,14,5,6,4,4,12,5,9,3,3,7,6,8,7,4,3,8,4,5,5,7,7,6,6,2,16,12,7,6,4,15,7,4,4,6,9,1,6,4,6,8,4,8,7,7,9,8,5,4,7,4,9,2,2,10,8,6,6,5,5,3,5,6,2,6,11,3,4,5,16,14
第十五出,北尾,否,5,"[11, 12, 11, 12]",11,12,11,12
第十六出,一枝花,否,1,"[5, 5, 5, 5, 4, 5, 6, 7, 7]",5,5,5,5,4,5,6,7,7
第十六出,北二犯江儿水,否,2,"[4, 7, 7, 6, 3, 3, 3, 6, 6, 4, 4, 9, 9, 4, 4, 7, 4, 7, 14]",4,7,7,6,3,3,3,6,6,4,4,9,9,4,4,7,4,7,14
第十六出,北尾,否,3,"[8, 8, 2, 8, 4]",8,8,2,8,4
第十六出,清江引,否,4,[0],0
第十六出,清江引,否,5,"[9, 18, 10, 0]",9,18,10,0
第十六出,北调脱布衫,否,6,"[7, 8, 7, 8]",7,8,7,8
第十六出,中吕小梁州,否,7,"[10, 4, 8, 3, 5]",10,4,8,3,5
第十六出,么,否,8,"[9, 8, 7, 3, 3, 10]",9,8,7,3,3,10
第十六出,耍孩儿,否,9,"[7, 7, 7, 7, 10, 7, 6, 7, 7]",7,7,7,7,10,7,6,7,7
第十六出,煞尾,否,10,"[5, 5, 11, 12, 5]",5,5,11,12,5
第十七出,夜行船引,否,1,"[7, 7, 4, 4, 7]",7,7,4,4,7
第十七出,惜奴娇序,否,2,"[4, 5, 4, 9, 6, 9, 2, 8, 4]",4,5,4,9,6,9,2,8,4
第十七出,黑麻序,否,3,"[2, 4, 5, 4, 5, 7, 2, 5, 5, 3, 5, 4]",2,4,5,4,5,7,2,5,5,3,5,4
